Settlement Name,Settlement Code,All Ages,Under 16,16 to 64,65 & Over
Jedburgh,S20001282,3910,622,2327,961
Johnshaven,S20001283,650,122,407,121
Keith,S20001284,4690,755,2770,1165
Kelso,S20001285,6910,1052,3924,1934
Kelty,S20001286,6730,1319,4142,1269
Kemnay,S20001287,3870,686,2424,760
Kilbirnie,S20001288,7340,1336,4651,1353
Kilcreggan,S20001289,1270,180,754,336
Killearn,S20001290,1690,301,989,400
Killin,S20001291,770,97,484,189
Kilmacolm,S20001292,4000,680,2227,1093
Kilmarnock,S20001293,51390,9221,32746,9423
Kilmaurs,S20001294,2780,442,1738,600
Kilsyth,S20001295,10080,1762,6323,1995
Kilwinning,S20001296,16460,3085,10366,3009
Kincardine,S20001297,2750,373,1690,687
Kinghorn,S20001298,2840,423,1684,733
Kinglassie,S20001299,1900,399,1231,270
Kingseat (Aberdeenshire),S20001300,750,223,497,30
Kingseat (Fife),S20001301,750,97,426,227
Kingskettle and Kettlebridge,S20001302,1040,162,642,236
Kingswells,S20001303,4740,1077,3075,588
Kingussie,S20001304,1480,213,913,354
Kinlochleven,S20001305,810,125,492,193
Kinloss,S20001306,1500,414,1013,73
Kinnesswood,S20001307,520,82,305,133
Kinross,S20001308,5120,907,3024,1189
Kintore,S20001309,4790,1148,2991,651
Kippen,S20001310,1080,182,668,230
Kirkcaldy and Dysart,S20001311,50010,9202,30815,9993
Kirkconnel,S20001312,1970,333,1225,412
Kirkcudbright,S20001313,3420,477,1847,1096
Kirkfieldbank,S20001314,990,125,600,265
Kirkhill,S20001315,730,111,466,153
Kirkintilloch,S20001316,29450,5405,18237,5808
Kirkliston,S20001317,4740,1077,2896,767
Kirkmuirhill and Blackwood,S20001318,4440,854,2826,760
Kirknewton,S20001319,1980,431,1342,207
Kirkwall,S20001320,7420,1186,4693,1541
Kirriemuir,S20001321,6120,1012,3623,1485
Kyle of Lochalsh,S20001322,650,114,417,119
Ladybank,S20001323,1470,220,878,372
Lamlash,S20001324,1120,156,632,332
Lanark,S20001325,9050,1381,5548,2121
Langbank,S20001326,890,128,554,208
Langholm,S20001327,2160,287,1243,630
Largs,S20001328,11260,1539,6077,3644
Larkhall,S20001329,16200,2679,10080,3441
Lauder,S20001330,1790,422,1051,317
Laurencekirk,S20001331,3040,606,1834,600
Law,S20001332,3220,595,2100,525
Lennoxtown,S20001333,4140,739,2698,703
Lerwick,S20001334,6880,1160,4383,1337
Lesmahagow,S20001335,4350,797,2660,893
Letham,S20001336,1640,272,937,431
Leuchars and Guardbridge,S20001337,3090,801,1939,350
Lhanbryde,S20001338,1920,318,1215,387
Liff,S20001339,900,170,556,174
Limekilns and Charlestown,S20001340,1410,224,803,383
Linlithgow,S20001341,13260,2457,8152,2651
Livingston,S20001342,65810,13237,43137,9436
Loanhead and Bilston,S20001343,7770,1258,4755,1757
Loans,S20001344,690,107,412,171
Locharbriggs,S20001345,5830,959,3606,1265
Lochgilphead,S20001346,2300,395,1414,491
Lochmaben,S20001347,2200,351,1307,542
Lochwinnoch,S20001348,2880,498,1795,587
Lockerbie,S20001349,4240,654,2434,1152
Logan,S20001350,1240,264,743,233
Longforgan,S20001351,1180,158,772,250
Longniddry,S20001352,2420,322,1328,770
Longridge,S20001353,900,163,594,143
Longside,S20001354,1010,202,649,159
Lossiemouth,S20001355,7870,1289,5262,1319
Lower Largo and Lundin Links,S20001356,1920,218,1079,623
Lumphanan,S20001357,550,98,341,111
Luncarty,S20001358,1650,266,1029,355
Macduff,S20001359,3950,669,2491,790
Macmerry,S20001360,1410,289,858,263
Mallaig,S20001361,730,107,470,153
Marywell,S20001362,600,138,406,56
Mauchline,S20001363,4010,621,2495,894
Maud,S20001364,910,165,582,163
Maybole,S20001365,4610,827,2863,920
Melrose,S20001366,2510,467,1435,608
Menstrie,S20001367,2870,574,1689,607
"Methil, Leven and Buckhaven",S20001368,30530,5411,18732,6387
Methlick,S20001369,560,102,358,100
Methven,S20001370,1300,236,781,283
Millport,S20001371,1220,106,644,470
Milnathort,S20001372,1950,364,1133,453
Milton and Kildary,S20001373,650,120,394,136
Milton of Campsie,S20001374,3840,575,2399,866
Mintlaw,S20001375,2820,505,1609,706
Moffat,S20001376,2510,389,1347,774
Moniaive,S20001377,510,85,282,143
Montrose,S20001378,13320,2159,8299,2862
Moodiesburn,S20001379,6890,1335,4486,1069
Morningside,S20001380,1090,274,670,146
Mossblown,S20001381,2100,393,1268,439
Mosstodloch,S20001382,990,163,568,259
Motherwell and Wishaw,S20001383,124790,23108,80796,20886
Muir of Ord,S20001384,2690,522,1632,536
Muirkirk,S20001385,1420,224,838,358
Murthly,S20001386,580,100,326,154
Muthill,S20001387,750,137,426,187
Nairn,S20001388,9960,1632,5867,2461
Neilston,S20001389,5170,906,3378,886
Netherburn,S20001390,820,185,541,94
Nethy Bridge,S20001391,660,92,380,188
New Cumnock,S20001392,2710,392,1647,671
New Deer,S20001393,620,96,369,155
New Pitsligo,S20001394,1170,250,706,214
Newbridge and Ratho Station,S20001395,1040,211,676,153
Newburgh (Aberdeenshire),S20001396,1510,275,970,265
Newburgh (Fife),S20001397,2120,334,1295,491
Newcastleton,S20001398,760,107,415,238
Newmachar,S20001399,2500,503,1629,368
Newmilns,S20001400,2800,455,1729,616
Newport-on-Tay and Wormit,S20001401,4310,739,2475,1096
Newton Stewart,S20001402,4080,693,2344,1043
Newtonhill,S20001403,3140,610,2001,529
Newtonmore,S20001404,1100,157,640,303
Newtown St Boswells,S20001405,1330,203,853,274
Newtyle,S20001406,700,96,446,158
North Berwick,S20001407,6930,1156,3758,2016
North Kessock,S20001408,1120,162,642,316
North Queensferry,S20001409,1060,163,653,244
"Oakley, Carnock and Comrie",S20001410,3810,709,2364,737
Oban,S20001411,8490,1426,5505,1559
Ochiltree,S20001412,1060,187,697,176
Oldmeldrum,S20001413,3140,643,1982,515
Ormiston,S20001414,1970,320,1231,419
Overtown,S20001415,3340,520,2252,568
Pathhead,S20001416,960,182,593,185
Patna,S20001417,2110,382,1237,491
Peebles,S20001418,8940,1615,5179,2146
Pencaitland,S20001419,1480,272,919,289
Penicuik,S20001420,16120,2787,9952,3381
Perth,S20001421,47430,7951,30459,9020
Peterculter,S20001422,7350,1232,4593,1525
Peterhead,S20001423,19270,3370,12363,3537
Pitlochry,S20001424,2950,314,1775,861
Pitmedden,S20001425,1440,323,908,209
Plains,S20001426,2770,571,1794,405
Plean,S20001427,1980,454,1208,318
Port Bannatyne,S20001428,1140,139,595,406
Port Ellen,S20001429,810,126,490,194
Portgordon,S20001430,820,122,494,204
Portknockie,S20001431,1270,203,764,303
Portlethen,S20001432,9090,1845,6110,1135
Portpatrick,S20001433,640,70,368,202
Portree,S20001434,2480,437,1545,498
Portsoy,S20001435,1740,264,975,501
Potterton,S20001436,880,140,566,174
Prestonpans,S20001437,10410,2107,6662,1641
Quarrier's Village,S20001438,730,96,452,182
Quarter,S20001439,740,106,457,177
Queenzieburn,S20001440,520,104,337,79
Ratho,S20001441,1950,385,1231,334
Rigside,S20001442,670,126,405,139
Rosehearty,S20001443,1320,258,817,245
Rosemarkie,S20001444,650,119,381,150
Rosewell,S20001445,1680,323,1079,278
Roslin,S20001446,1670,287,986,397
Rosneath,S20001447,1240,217,757,266
Rothes,S20001448,1200,201,737,262
Rothesay,S20001449,4390,637,2489,1264
Rothienorman,S20001450,1100,241,725,134
Saline,S20001451,1080,159,635,286
Salsburgh,S20001452,1350,239,887,224
Saltcoats,S20001453,32540,5793,20379,6368
Sandhaven,S20001454,840,155,526,159
Sanquhar,S20001455,1980,327,1151,502
Scalloway,S20001456,1240,240,780,220
Scone,S20001457,5050,803,2758,1489
Seafield,S20001458,1330,212,854,264
Selkirk,S20001459,5580,861,3261,1458
Shieldhill,S20001460,2420,398,1633,389
Shotts,S20001461,8570,1429,5649,1492
Slamannan,S20001462,1310,291,861,158
South Queensferry,S20001463,9350,1881,5969,1500
Spean Bridge,S20001464,570,88,347,135
Springfield,S20001465,960,173,622,165
Springside,S20001466,1250,202,787,261
St Andrews,S20001467,17580,1309,13417,2854
St Boswells,S20001468,1470,268,771,431
St Combs,S20001469,660,98,407,155
St Cyrus,S20001470,1160,257,665,238
St Fergus,S20001471,780,165,510,105
St Madoes and Glencarse,S20001472,1170,225,725,220
St Monans,S20001473,1190,178,728,284
Stanley,S20001474,1410,225,872,313
